const	BattleTowerPokemonData	BTPD50[]={
	{
		MONSNO_PIKATYUU,
		3,0x42,
		{WAZANO_DENKOUSEKKA,WAZANO_DENZIHA,WAZANO_DENKISYOKKU,WAZANO_NAKIGOE,},
		0x0c,0,0,
	},
	{
		MONSNO_AGEHANTO,
		8,0x41,
		{WAZANO_SUITORU,WAZANO_SIBIREGONA,WAZANO_KAZEOKOSI,WAZANO_SINPINOMAMORI,},
		0x3f,2,0,
	},
	{
		MONSNO_OOSUBAME,
		23,0x07,
		{WAZANO_TUTUKU,WAZANO_TUBASADEUTU,WAZANO_TUBAMEGAESI,WAZANO_KOUSOKUIDOU,},
		0x02,21,0,
	},
	{
		MONSNO_TODOZERUGA,
		34,0x0b,
		{WAZANO_ARARE,WAZANO_ANKOORU,WAZANO_AISUBOORU,WAZANO_DOKUDOKU,},
		0x15,3,0,
	},
	{
		MONSNO_AZUMAOU,
		22,0x07,
		{WAZANO_TUTUKU,WAZANO_ZITABATA,WAZANO_MIDAREDUKI,WAZANO_NAMINORI,},
		0x08,11,0,
	},
	{
		MONSNO_ATYAMO,
		1,0x42,
		{WAZANO_HONOONOUZU,WAZANO_MAMORU,WAZANO_SUNAKAKE,WAZANO_KIRISAKU,},
		0x30,7,0,
	},
	{
		MONSNO_AMEMOOSU,
		19,0x41,
		{WAZANO_SIBIREGONA,WAZANO_MIZUASOBI,WAZANO_DENKOUSEKKA,WAZANO_KAZEOKOSI,},
		0x21,8,0,
	},
	{
		MONSNO_IRUMIIZE,
		0,0x41,
		{WAZANO_ODATERU,WAZANO_HOSIGARU,WAZANO_NEGAIGOTO,WAZANO_KARAGENKI,},
		0x0c,0,0,
	},
	{
		MONSNO_ENEKORORO,
		18,0x42,
		{WAZANO_MEROMERO,WAZANO_SIPPOWOHURU,WAZANO_DAMASIUTI,WAZANO_ANAWOHORU,},
		0x25,1,0,
	},
	{
		MONSNO_KAKUREON,
		7,0x0b,
		{WAZANO_SIPPOWOHURU,WAZANO_KIRISAKU,WAZANO_SITADENAMERU,WAZANO_IYANAOTO,},
		0x24,2,0,
	},
	{
		MONSNO_GURAENA,
		39,0x05,
		{WAZANO_KAMITUKU,WAZANO_TOSSIN,WAZANO_HOERU,WAZANO_TOOBOE,},
		0x12,6,0,
	},
	{
		MONSNO_KEKKINGU,
		13,0x05,
		{WAZANO_DAMASIUTI,WAZANO_KAUNTAA,WAZANO_HIKKAKU,WAZANO_TYOUHATU,},
		0x05,9,0,
	},
	{
		MONSNO_GOORIKII,
		4,0x05,
		{WAZANO_NIRAMITUKERU,WAZANO_ANAWOHORU,WAZANO_KETAGURI,WAZANO_KIAIPANTI,},
		0x08,10,0,
	},
	{
		MONSNO_SAIDON,
		7,0x05,
		{WAZANO_KAIRIKI,WAZANO_GANSEKIHUUZI,WAZANO_HUMITUKE,WAZANO_IWAKUDAKI,},
		0x09,24,0,
	},
	{
		MONSNO_NOKUTASU,
		28,0x0b,
		{WAZANO_DOKUBARI,WAZANO_SEITYOU,WAZANO_SUITORU,WAZANO_SOORAABIIMU,},
		0x10,0,0,
	},
	{
		MONSNO_ZIGUZAGUMA,
		1,0x0a,
		{WAZANO_ZITABATA,WAZANO_SUNAKAKE,WAZANO_NEMURU,WAZANO_NAMINORI,},
		0x0a,22,0,
	},
	{
		MONSNO_DOODORIO,
		23,0x03,
		{WAZANO_OIUTI,WAZANO_TORAIATAKKU,WAZANO_NAKIGOE,WAZANO_KOUSOKUIDOU,},
		0x3f,12,0,
	},
	{
		MONSNO_NAMAZUN,
		24,0x0b,
		{WAZANO_MIZUDEPPOU,WAZANO_DOWASURE,WAZANO_MAGUNITYUUDO,WAZANO_DOROKAKE,},
		0x06,9,0,
	},
	{
		MONSNO_TEKKANIN,
		11,0x41,
		{WAZANO_SUNAKAKE,WAZANO_RENZOKUGIRI,WAZANO_KOUSOKUIDOU,WAZANO_KATAKUNARU,},
		0x2d,17,0,
	},
	{
		MONSNO_SAMAYOORU,
		39,0x01,
		{WAZANO_MAMORU,WAZANO_NAITOHEDDO,WAZANO_ODOROKASU,WAZANO_ONIBI,},
		0x01,0,0,
	},
	{
		MONSNO_BAKUUDA,
		38,0x07,
		{WAZANO_ANAWOHORU,WAZANO_HINOKO,WAZANO_NAKIGOE,WAZANO_IWAKUDAKI,},
		0x12,5,0,
	},
	{
