const	BattleTowerPokemonData	BTPD100[]={
	{
		MONSNO_MASSUGUMA,
		26,0x42,
		{WAZANO_KIRISAKU,WAZANO_NAKIGOE,WAZANO_SIPPOWOHURU,WAZANO_SUNAKAKE,},
		0x08,12,0,
	},
	{
		MONSNO_GURAENA,
		2,0x41,
		{WAZANO_KAMITUKU,WAZANO_TOOBOE,WAZANO_KAGIWAKERU,WAZANO_KOWAIKAO,},
		0x02,14,0,
	},
	{
		MONSNO_AGEHANTO,
		7,0x41,
		{WAZANO_GIGADOREIN,WAZANO_KAZEOKOSI,WAZANO_SIBIREGONA,WAZANO_MAMORU,},
		0x0a,23,0,
	},
	{
		MONSNO_DOKUKEIRU,
		39,0x41,
		{WAZANO_SAIKEKOUSEN,WAZANO_KAZEOKOSI,WAZANO_KAGEBUNSIN,WAZANO_GINIRONOKAZE,},
		0x0c,7,0,
	},
	{
		MONSNO_HASUBURERO,
		4,0x03,
		{WAZANO_ODOROKASU,WAZANO_NAKIGOE,WAZANO_MEGADOREIN,WAZANO_NAMINORI,},
		0x11,1,0,
	},
	{
		MONSNO_KONOHANA,
		19,0x01,
		{WAZANO_TANEMASINGAN,WAZANO_KAMAITATI,WAZANO_DAMASIUTI,WAZANO_SEITYOU,},
		0x12,6,0,
	},
	{
		MONSNO_OOSUBAME,
		23,0x42,
		{WAZANO_TUBAMEGAESI,WAZANO_NAKIGOE,WAZANO_GAMUSYARA,WAZANO_KIAIDAME,},
		0x02,21,0,
	},
	{
		MONSNO_PERIPPAA,
		22,0x02,
		{WAZANO_NAMINORI,WAZANO_MIZUASOBI,WAZANO_MAMORU,WAZANO_TYOUONPA,},
		0x10,16,0,
	},
	{
		MONSNO_KINOGASSA,
		1,0x42,
		{WAZANO_MAHHAPANTI,WAZANO_MEGADOREIN,WAZANO_ZUTUKI,WAZANO_SIBIREGONA,},
		0x02,21,0,
	},
	{
		MONSNO_TEKKANIN,
		26,0x41,
		{WAZANO_HIKKAKU,WAZANO_IYANAOTO,WAZANO_KYUUKETU,WAZANO_HURASSYU,},
		0x06,12,0,
	},
	{
		MONSNO_KUROBATTO,
		2,0x01,
		{WAZANO_KAMITUKU,WAZANO_SORAWOTOBU,WAZANO_TYOUONPA,WAZANO_KUROIKIRI,},
		0x07,8,0,
	},
	{
		MONSNO_KUTIITO,
		36,0x03,
		{WAZANO_HASAMU,WAZANO_AMAIKAORI,WAZANO_ODOROKASU,WAZANO_KAIRIKI,},
		0x02,0,0,
	},
	{
		MONSNO_NOZUPASU,
		2,0x01,
		{WAZANO_IWAOTOSI,WAZANO_SUNAARASI,WAZANO_KATAKUNARU,WAZANO_MAMORU,},
		0x02,8,0,
	},
	{
		MONSNO_ENEKORORO,
		2,0x42,
		{WAZANO_OUHUKUBINTA,WAZANO_SIPPOWOHURU,WAZANO_MEROMERO,WAZANO_AMAERU,},
		0x24,5,0,
	},
	{
		MONSNO_BAKUUDA,
		38,0x01,
		{WAZANO_HINOKO,WAZANO_TOSSIN,WAZANO_NAKIGOE,WAZANO_SUNAARASI,},
		0x20,19,0,
	},
	{
		MONSNO_BETOBETON,
		3,0x01,
		{WAZANO_DOKUGASU,WAZANO_TIISAKUNARU,WAZANO_HEDOROKOUGEKI,WAZANO_IYANAOTO,},
		0x01,20,0,
	},
	{
		MONSNO_SANDOPAN,
		40,0x03,
		{WAZANO_KIRISAKU,WAZANO_SUNAKAKE,WAZANO_MARUKUNARU,WAZANO_SUPIIDOSUTAA,},
		0x06,6,0,
	},
	{
		MONSNO_PATTIIRU,
		18,0x42,
		{WAZANO_SAWAGU,WAZANO_MIZUNOHADOU,WAZANO_ABARERU,WAZANO_SINPINOMAMORI,},
		0x08,10,0,
	},
	{
		MONSNO_NAMAZUN,
		4,0x01,
		{WAZANO_KUSUGURU,WAZANO_DOROASOBI,WAZANO_MIZUDEPPOU,WAZANO_MIZUASOBI,},
		0x0c,11,0,
	},
	{
		MONSNO_NOKUTASU,
		28,0x01,
		{WAZANO_DOKUBARI,WAZANO_MISAIRUBARI,WAZANO_SUITORU,WAZANO_WATAHOUSI,},
		0x12,14,0,
	},
	{
		MONSNO_PURIN,
		32,0x42,
		{WAZANO_UTAU,WAZANO_KOROGARU,WAZANO_HATAKU,WAZANO_HIKARINOKABE,},
		0x01,0,0,
	},
	{
		MONSNO_MARIRU,
		22,0x42,
